"net_id" "spec_id" "depth_min" "depth_max" "depth_mid" "biomass_ug_m3"
"1" "n8" "Calanoida" 25 50 37.5 29.6761689268667
"2" "n8" "Calanus" 25 50 37.5 36.0304277584879
"3" "n8" "Oithona" 25 50 37.5 1.48622782429986
"4" "n8" "Oncaea" 25 50 37.5 0.0871564623834225
"5" "n7" "Calanoida" 50 75 62.5 623.221406872362
"6" "n7" "Calanus" 50 75 62.5 912.436713710058
"7" "n7" "Centropages" 50 75 62.5 130.591486242889
"8" "n7" "Chaetognatha" 50 75 62.5 100.169415584422
"9" "n7" "Metridinidae" 50 75 62.5 75.9360871803188
"10" "n7" "Oithona" 50 75 62.5 174.931751905523
"11" "n6" "Calanoida" 75 100 87.5 67.5827542115205
"12" "n6" "Calanus" 75 100 87.5 45.1609140779117
"13" "n6" "Oithona" 75 100 87.5 3.23137177579892
"14" "n6" "Oncaea" 75 100 87.5 0.0996564710562605
"15" "n5" "Calanoida" 100 125 112.5 237.876234664833
"16" "n5" "Calanus" 100 125 112.5 329.562592904055
"17" "n5" "Centropages" 100 125 112.5 28.2975526419409
"18" "n5" "Chaetognatha" 100 125 112.5 57.5621456558581
"19" "n5" "Euphausiacea" 100 125 112.5 3588.02344978309
"20" "n5" "Metridinidae" 100 125 112.5 133.552331154897
"21" "n5" "Oithona" 100 125 112.5 9.69731115931387
"22" "n4" "Actinopterygii" 125 150 137.5 883.060568209582
"23" "n4" "Calanoida" 125 150 137.5 326.555073626493
"24" "n4" "Calanus" 125 150 137.5 1918.68101490242
"25" "n4" "Centropages" 125 150 137.5 65.1682211818701
"26" "n4" "Chaetognatha" 125 150 137.5 808.902144515629
"27" "n4" "Euphausiacea" 125 150 137.5 5009.68957417549
"28" "n4" "Metridinidae" 125 150 137.5 114.065523992068
"29" "n4" "Oithona" 125 150 137.5 72.0345484922396
"30" "n4" "Oncaea" 125 150 137.5 0.147920753457839
"31" "n3" "Actinopterygii" 150 180 165 5982.57009677568
"32" "n3" "Calanoida" 150 180 165 205.951879844932
"33" "n3" "Calanus" 150 180 165 2489.55337402904
"34" "n3" "Centropages" 150 180 165 405.047676867998
"35" "n3" "Chaetognatha" 150 180 165 408.537667255448
"36" "n3" "Euphausiacea" 150 180 165 708.0444336437
"37" "n3" "Metridinidae" 150 180 165 185.986841099346
"38" "n3" "Oithona" 150 180 165 10.0065580083476
"39" "n3" "Oncaea" 150 180 165 0.452476342279616
"40" "n2" "Calanoida" 180 210 195 169.969013566826
"41" "n2" "Calanus" 180 210 195 2269.6877797774
"42" "n2" "Centropages" 180 210 195 43.6037796698024
"43" "n2" "Chaetognatha" 180 210 195 432.931687371026
"44" "n2" "Euphausiacea" 180 210 195 3545.9041570522
"45" "n2" "Metridinidae" 180 210 195 329.524337212192
"46" "n2" "Oithona" 180 210 195 0.048082371655703
"47" "n2" "Oncaea" 180 210 195 4.09286276379679
"48" "n1" "Calanoida" 210 242 226 265.955183019865
"49" "n1" "Calanus" 210 242 226 1533.7519092725
"50" "n1" "Centropages" 210 242 226 107.723618404572
"51" "n1" "Chaetognatha" 210 242 226 496.786020568174
"52" "n1" "Metridinidae" 210 242 226 267.309093160389
"53" "n1" "Oithona" 210 242 226 4.03808690407
"54" "n1" "Oncaea" 210 242 226 3.05364100976888
